CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Total,White-British,White-Irish,White-Gypsy or Irish Traveller, White-Other White,Mixed-White and Black Caribbean,Mixed-White and Black African,Mixed-White and Asian,Mixed-Other Mixed,Asian-Indian,Asian-Pakistani ,Asian-Bangladeshi,Asian-Chinese,Asian-Other Asian,Black-African,Black-Caribbean,Black-Other Black,Other-Arab ,Other-Any other ethnic group
73909,E00013756,E00013756,Output Areas and Small Areas,OASA,358,180,17,0,39,2,3,4,8,2,3,0,4,6,40,11,12,8,19
73910,E00013757,E00013757,Output Areas and Small Areas,OASA,220,56,8,5,38,5,11,1,1,0,0,18,7,3,31,9,14,1,12
73911,E00013758,E00013758,Output Areas and Small Areas,OASA,429,109,11,0,53,9,6,3,18,5,0,38,21,18,66,28,35,1,8
73912,E00013760,E00013760,Output Areas and Small Areas,OASA,349,113,7,0,42,9,0,0,17,3,0,27,6,7,62,13,14,8,21
73913,E00013762,E00013762,Output Areas and Small Areas,OASA,222,99,8,0,36,0,1,4,3,0,2,9,3,12,27,5,5,5,3
73914,E00013763,E00013763,Output Areas and Small Areas,OASA,393,141,10,0,109,2,1,5,3,26,9,0,41,6,9,9,5,12,5
73915,E00013764,E00013764,Output Areas and Small Areas,OASA,234,92,10,0,59,6,3,3,5,1,1,1,14,10,4,10,5,0,10
73916,E00013765,E00013765,Output Areas and Small Areas,OASA,243,116,19,0,36,6,1,2,2,6,0,14,2,10,4,18,2,2,3
73917,E00013766,E00013766,Output Areas and Small Areas,OASA,290,89,13,0,45,5,5,2,16,0,2,11,2,16,31,22,17,6,8
73918,E00013767,E00013767,Output Areas and Small Areas,OASA,312,127,24,0,39,5,2,1,8,1,0,5,15,6,23,14,17,5,20
73919,E00013768,E00013768,Output Areas and Small Areas,OASA,270,119,16,0,52,7,1,2,6,1,0,0,2,7,15,14,12,6,10
73920,E00013769,E00013769,Output Areas and Small Areas,OASA,284,136,12,0,48,9,1,6,3,3,1,2,7,4,17,11,16,2,6
73921,E00013770,E00013770,Output Areas and Small Areas,OASA,328,133,21,0,74,4,0,4,16,2,1,9,13,2,12,13,13,2,9
73922,E00013771,E00013771,Output Areas and Small Areas,OASA,297,141,14,0,57,8,1,4,6,5,0,0,0,11,23,4,17,1,5
73923,E00013772,E00013772,Output Areas and Small Areas,OASA,212,84,28,0,36,2,5,1,14,6,0,0,5,12,11,2,2,0,4
73924,E00013773,E00013773,Output Areas and Small Areas,OASA,237,112,5,1,38,3,0,3,6,2,0,4,8,6,29,6,0,0,14
73925,E00013774,E00013774,Output Areas and Small Areas,OASA,285,127,16,0,54,10,7,4,16,4,0,0,3,8,12,11,6,0,7
73926,E00013776,E00013776,Output Areas and Small Areas,OASA,381,172,23,0,98,5,0,3,2,12,2,9,2,12,10,9,13,0,9
73927,E00013777,E00013777,Output Areas and Small Areas,OASA,274,156,3,0,58,2,0,3,2,7,0,0,3,10,4,7,6,1,12
73928,E00013778,E00013778,Output Areas and Small Areas,OASA,329,198,16,0,68,4,0,3,7,0,0,2,3,7,7,2,5,5,2
73929,E00013780,E00013780,Output Areas and Small Areas,OASA,291,178,8,0,40,5,0,13,7,7,0,0,6,5,3,9,3,2,5
73930,E00013781,E00013781,Output Areas and Small Areas,OASA,331,186,10,0,49,11,3,7,10,3,1,2,3,9,16,6,10,4,1
73931,E00013782,E00013782,Output Areas and Small Areas,OASA,327,95,16,0,53,23,5,2,15,0,0,39,0,13,31,10,14,7,4
