CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,15,90+,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
60516,E00000001,E00000001,Output Areas and Small Areas,OASA,3,1,4,1,5,5,1,1,5,6,6,4,5,5,3,2,7,3,5,1,1,3,0,3,4,2,3,4,1,1,0,3,3,2,2,5,2,1,0,1,1,1,0,2,2,2,4,2,1,2,1,2,0,0,0,1,1,0,2,1,0,3,2,1,0,0,0,2,1,3,3,3,5,0,1,1,1,0,1,2,1,2,1,4,4,2,4,2,4,1,1
60517,E00000003,E00000003,Output Areas and Small Areas,OASA,5,3,4,4,4,5,4,3,6,5,7,9,6,4,4,6,5,4,2,4,1,1,1,1,4,2,1,1,1,1,3,0,2,1,2,2,3,1,0,0,1,0,1,1,1,2,4,1,3,4,2,3,2,4,1,0,2,0,2,1,1,1,0,2,2,2,2,3,1,5,4,1,2,3,3,5,5,6,2,4,7,1,3,1,5,5,6,3,3,4,1
60518,E00000005,E00000005,Output Areas and Small Areas,OASA,5,12,6,7,7,2,3,5,3,4,4,8,12,2,4,4,12,8,4,6,5,4,0,3,2,6,1,2,6,2,2,5,3,2,2,1,3,2,2,2,0,0,0,1,1,3,1,0,1,5,2,3,1,4,2,0,1,0,5,1,1,0,0,0,3,0,7,4,0,4,6,8,9,10,6,13,9,5,3,6,5,3,6,8,5,6,8,7,3,7,11
60519,E00000007,E00000007,Output Areas and Small Areas,OASA,0,2,1,2,1,1,6,0,3,2,1,1,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,1,5,4,2,7,2,1,6,2,8,5,5,3,5,2,2,4,1,1,0,2,3,2,1,6,2
60520,E00000010,E00000010,Output Areas and Small Areas,OASA,0,1,2,1,0,1,4,2,1,2,2,2,1,0,1,2,1,2,0,0,0,2,0,1,0,1,3,0,1,1,0,1,0,0,0,0,1,0,2,1,0,0,2,0,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,5,3,3,1,3,0,3,2,4,3,3,5,6,0,0,2,0,2,3
60521,E00000012,E00000012,Output Areas and Small Areas,OASA,6,2,3,4,4,2,2,2,2,4,3,0,2,3,6,4,1,4,4,3,2,2,3,4,2,2,2,0,4,0,2,4,0,4,2,1,4,2,3,0,1,2,1,0,1,4,1,1,1,2,0,1,1,0,0,1,0,2,1,1,1,0,0,0,1,0,2,3,2,0,2,4,6,2,2,3,3,7,3,3,5,3,4,5,6,3,4,4,4,3,3
60522,E00000013,E00000013,Output Areas and Small Areas,OASA,0,6,4,1,1,1,3,1,2,1,3,0,3,0,4,0,1,2,1,2,0,4,3,1,3,0,0,0,2,0,2,0,0,0,1,2,1,2,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,17,13,14,4,8,3,3,2,2,5,4,3,4,2,3,4,7,10,3,2,3,2,4,3,2,4,5,4,2,5
60523,E00000014,E00000014,Output Areas and Small Areas,OASA,3,5,1,1,2,3,2,3,1,2,2,3,1,1,2,0,2,2,3,0,4,2,1,1,2,2,1,0,0,2,1,2,2,0,2,1,5,4,0,0,0,1,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,4,5,3,5,6,2,3,6,2,2,4,2,4,1,4,1,7,1,1,3,3
60524,E00000016,E00000016,Output Areas and Small Areas,OASA,2,6,7,6,4,2,8,7,7,6,4,4,5,4,8,6,8,6,4,2,3,4,2,3,4,3,2,1,1,2,1,0,2,0,0,0,0,0,3,0,0,0,0,3,1,9,2,1,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,2,3,3,5,6,5,6,3,10,2,5,6,3,6,8,11,4,7,7,6,6,4
