CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,AB(16-64),C1(16-64),C2(16-64),DE(16-64)
64601,E00004167,E00004167,Output Areas and Small Areas,OASA,113,43,0,10
64602,E00004168,E00004168,Output Areas and Small Areas,OASA,83,30,9,11
64603,E00004169,E00004169,Output Areas and Small Areas,OASA,116,99,3,15
64604,E00004172,E00004172,Output Areas and Small Areas,OASA,55,105,16,22
64605,E00004173,E00004173,Output Areas and Small Areas,OASA,47,57,3,19
64606,E00004174,E00004174,Output Areas and Small Areas,OASA,10,140,27,38
64607,E00004175,E00004175,Output Areas and Small Areas,OASA,49,106,7,57
64608,E00004177,E00004177,Output Areas and Small Areas,OASA,47,35,1,2
64609,E00004179,E00004179,Output Areas and Small Areas,OASA,40,72,29,46
64610,E00004180,E00004180,Output Areas and Small Areas,OASA,53,105,5,25
64611,E00004181,E00004181,Output Areas and Small Areas,OASA,37,58,36,50
64612,E00004182,E00004182,Output Areas and Small Areas,OASA,47,49,1,19
64613,E00004183,E00004183,Output Areas and Small Areas,OASA,20,54,23,44
64614,E00004184,E00004184,Output Areas and Small Areas,OASA,36,67,20,28
64615,E00004185,E00004185,Output Areas and Small Areas,OASA,54,160,18,63
64616,E00004187,E00004187,Output Areas and Small Areas,OASA,145,194,36,28
64617,E00004188,E00004188,Output Areas and Small Areas,OASA,56,96,0,6
64618,E00004189,E00004189,Output Areas and Small Areas,OASA,56,183,4,13
64619,E00004190,E00004190,Output Areas and Small Areas,OASA,136,207,15,15
64620,E00004193,E00004193,Output Areas and Small Areas,OASA,86,104,10,8
64621,E00004194,E00004194,Output Areas and Small Areas,OASA,117,77,12,5
64622,E00004195,E00004195,Output Areas and Small Areas,OASA,119,116,7,24
64623,E00004196,E00004196,Output Areas and Small Areas,OASA,78,39,1,30
64624,E00004197,E00004197,Output Areas and Small Areas,OASA,106,80,3,2
64625,E00004198,E00004198,Output Areas and Small Areas,OASA,104,155,21,33
64626,E00004199,E00004199,Output Areas and Small Areas,OASA,96,107,17,20
64627,E00004200,E00004200,Output Areas and Small Areas,OASA,75,104,14,22
64628,E00004201,E00004201,Output Areas and Small Areas,OASA,127,49,1,4
64629,E00004202,E00004202,Output Areas and Small Areas,OASA,14,26,9,18
64630,E00004203,E00004203,Output Areas and Small Areas,OASA,117,105,16,29
64631,E00004204,E00004204,Output Areas and Small Areas,OASA,113,62,8,7
64632,E00004205,E00004205,Output Areas and Small Areas,OASA,125,109,16,16
64633,E00004206,E00004206,Output Areas and Small Areas,OASA,53,65,17,73
64634,E00004207,E00004207,Output Areas and Small Areas,OASA,49,69,18,101
64635,E00004208,E00004208,Output Areas and Small Areas,OASA,37,70,23,76
64636,E00004209,E00004209,Output Areas and Small Areas,OASA,65,70,18,75
64637,E00004210,E00004210,Output Areas and Small Areas,OASA,33,49,25,93
64638,E00004211,E00004211,Output Areas and Small Areas,OASA,80,100,31,46
64639,E00004212,E00004212,Output Areas and Small Areas,OASA,99,95,26,24
64640,E00004213,E00004213,Output Areas and Small Areas,OASA,82,60,48,127
64641,E00004214,E00004214,Output Areas and Small Areas,OASA,136,118,48,102
64642,E00004215,E00004215,Output Areas and Small Areas,OASA,114,70,10,8
64643,E00004216,E00004216,Output Areas and Small Areas,OASA,124,68,3,7
64644,E00004217,E00004217,Output Areas and Small Areas,OASA,104,58,25,16
64645,E00004218,E00004218,Output Areas and Small Areas,OASA,66,56,28,54
64646,E00004219,E00004219,Output Areas and Small Areas,OASA,96,119,41,36
64647,E00004220,E00004220,Output Areas and Small Areas,OASA,25,24,17,34
64648,E00004221,E00004221,Output Areas and Small Areas,OASA,95,57,5,8
64649,E00004222,E00004222,Output Areas and Small Areas,OASA,85,45,16,10
64650,E00004223,E00004223,Output Areas and Small Areas,OASA,46,99,17,85
64651,E00004224,E00004224,Output Areas and Small Areas,OASA,127,72,11,5
64652,E00004225,E00004225,Output Areas and Small Areas,OASA,132,150,33,42
64653,E00004226,E00004226,Output Areas and Small Areas,OASA,108,46,4,4
