age,sex,household_size,english_proficiency,marital_status,number_of_cars_and_vans,economic_activity,ethnic_group,highest_qualification,approximated_social_grade
26,2,2,1,2,0,2,9,15,1
53,1,2,3,2,1,6,4,11,2
21,1,2,2,1,1,13,4,12,2
29,1,6,1,1,0,2,14,14,1
23,2,6,-9,1,0,2,1,15,1
13,1,5,-9,1,0,-9,13,-9,-9
8,2,3,-9,1,1,-9,14,-9,-9
26,1,2,-9,1,1,11,6,15,3
20,1,4,1,1,0,11,4,14,4
68,1,5,-9,2,3,12,1,12,-9
32,2,5,-9,1,1,2,14,15,2
32,2,4,3,4,0,2,11,10,3
33,1,3,1,2,0,1,14,15,4
59,1,3,-9,2,2,2,1,12,2
38,2,2,-9,5,0,2,14,15,1
29,1,1,-9,1,1,2,1,14,2
49,2,3,-9,1,1,2,1,14,2
29,2,2,1,2,1,2,4,15,2
56,2,2,-9,2,2,2,14,15,2
70,1,1,-9,2,1,12,15,10,-9
29,1,2,2,3,1,14,4,16,3
33,1,4,-9,2,1,10,11,15,1
24,2,3,3,2,0,2,4,10,3
4,2,5,-9,1,0,-9,13,-9,-9
47,2,1,-9,2,0,14,4,15,1
24,1,4,1,1,0,2,9,14,2
50,1,8,1,2,0,15,14,10,4
26,2,2,-9,1,0,2,4,15,1
0,1,3,-9,1,0,-9,4,-9,-9
31,2,5,1,2,0,2,18,15,2
34,1,2,-9,1,0,2,15,11,4
29,1,5,1,1,0,2,1,15,3
43,1,1,-9,1,2,2,1,15,1
25,2,2,-9,1,0,2,2,15,1
30,1,1,-9,1,0,2,14,15,1
22,2,5,2,2,0,1,14,14,4
9,2,7,-9,1,1,-9,11,-9,-9
26,1,2,-9,1,0,2,1,15,1
41,1,1,-9,1,0,1,4,16,4
12,2,5,-9,1,2,-9,14,-9,-9
15,2,7,1,1,2,-9,4,-9,-9
27,1,3,3,2,0,2,18,16,4
38,1,2,-9,1,0,13,10,16,2
40,2,3,-9,1,1,1,14,12,2
26,1,7,-9,2,0,5,10,13,1
48,2,1,-9,1,0,15,15,14,2
51,2,4,2,1,0,2,6,10,4
22,1,4,-9,1,0,13,1,12,4
0,1,2,4,1,0,-9,9,-9,-9
25,2,3,-9,5,0,1,4,10,2
75,1,1,-9,1,0,12,1,10,-9
9,2,4,-9,1,1,-9,9,-9,-9
35,1,5,1,1,1,2,4,11,2
4,2,5,-9,1,0,-9,9,-9,-9
9,1,3,-9,1,2,-9,1,-9,-9
10,2,5,-9,1,0,-9,10,-9,-9
37,2,4,2,2,1,2,9,15,2
18,1,9,-9,1,3,13,10,14,3
56,2,2,1,2,1,1,9,16,2
47,2,3,-9,1,1,2,15,15,1
13,2,6,-9,1,0,-9,13,-9,-9
22,2,7,-9,1,1,7,10,15,4
14,1,6,-9,1,0,-9,4,-9,-9
23,2,3,1,1,0,16,6,15,4
11,1,6,-9,1,0,-9,9,-9,-9
7,2,3,1,1,1,-9,10,-9,-9
24,2,5,1,2,2,1,13,11,3
15,2,5,-9,1,2,-9,9,-9,-9
24,1,4,1,1,1,1,11,12,2
35,1,5,1,2,1,2,13,12,3
6,2,5,2,1,1,-9,13,-9,-9
28,1,6,-9,1,2,2,11,15,2
31,2,7,1,2,1,2,9,14,4
3,1,5,1,1,1,-9,13,-9,-9
24,1,3,1,1,1,13,10,15,2
39,1,5,1,2,0,2,8,15,1
80,1,1,-9,6,0,12,1,10,-9
28,2,2,2,2,1,14,11,16,1
49,1,4,-9,2,1,2,9,11,3
49,2,5,2,2,0,1,11,16,4
36,1,5,2,2,1,4,13,16,1
47,1,4,2,2,1,5,9,15,2
25,1,7,1,1,0,8,11,16,2
5,2,4,-9,1,0,-9,13,-9,-9
59,1,4,1,2,1,16,9,15,2
19,1,4,2,1,3,6,4,16,3
62,1,7,-9,2,1,12,11,15,1
5,1,6,1,1,2,-9,8,-9,-9
26,1,4,1,1,0,13,9,14,2
12,1,6,-9,1,1,-9,10,-9,-9
11,1,9,-9,1,0,-9,1,-9,-9
26,1,5,-9,1,0,9,9,16,2
35,1,5,2,2,1,6,4,11,4
28,1,5,-9,1,0,2,1,11,2
29,1,1,-9,2,0,13,14,11,2
46,2,1,2,5,0,5,4,16,3
70,1,2,-9,1,1,12,1,10,-9
54,2,2,-9,1,1,2,1,15,2
59,1,2,3,2,0,16,16,10,4
59,2,3,-9,5,1,15,1,10,3
26,1,4,-9,1,3,1,11,15,2
32,1,4,2,1,0,2,13,12,4
23,1,3,-9,1,0,1,15,12,2
2,1,3,-9,1,0,-9,1,-9,-9
59,1,1,-9,6,0,2,1,10,4
31,1,4,1,2,1,6,10,16,3
30,1,7,3,2,1,2,4,16,4
3,2,4,4,1,0,-9,1,-9,-9
19,1,3,-9,1,1,2,1,14,3
35,1,6,2,2,0,6,4,10,3
31,1,2,1,1,0,2,4,15,1
9,1,6,-9,1,2,-9,18,-9,-9
31,1,5,-9,1,0,2,14,15,2
16,1,2,-9,1,0,13,8,10,4
13,1,4,-9,1,0,-9,10,-9,-9
33,2,3,1,1,0,2,4,15,1
22,1,2,2,1,1,5,8,11,3
45,1,2,-9,1,0,7,5,10,3
53,1,4,2,2,1,2,9,10,1
6,1,6,-9,1,1,-9,9,-9,-9
31,2,5,2,1,0,2,4,15,4
27,2,5,2,1,1,2,4,15,2
75,2,1,-9,6,0,12,15,10,-9
56,2,5,-9,2,1,14,11,10,2
29,2,5,-9,2,1,2,15,15,2
75,2,1,-9,6,0,12,1,10,-9
14,2,3,-9,1,1,-9,6,-9,-9
49,2,5,-9,2,1,1,13,16,2
10,1,6,-9,1,0,-9,1,-9,-9
30,1,8,2,2,0,6,12,16,2
85,1,1,-9,1,0,2,2,10,-9
23,1,1,2,1,0,13,12,15,-9
32,2,1,1,1,0,2,4,12,2
24,1,0,-9,2,0,2,9,16,-9
31,1,1,-9,1,0,8,14,14,2
34,2,2,-9,2,1,6,9,15,1
6,1,1,3,1,0,-9,17,-9,-9
13,2,4,-9,1,0,-9,14,-9,-9
29,2,2,-9,1,2,2,1,14,1
30,1,1,-9,1,1,2,4,15,1
27,1,2,-9,1,0,2,9,15,1
36,2,6,1,2,1,1,13,15,3
10,2,5,1,1,1,-9,13,-9,-9
38,1,3,-9,2,1,2,9,12,2
14,1,6,-9,1,2,-9,10,-9,-9
22,1,1,1,1,0,13,4,14,2
12,1,9,-9,1,3,-9,1,-9,-9
25,1,6,1,1,1,2,11,15,1
15,1,6,-9,1,1,-9,1,-9,-9
54,2,3,2,2,0,7,10,10,2
36,1,1,-9,1,0,1,1,16,3
20,1,6,-9,1,3,13,10,12,4
53,1,3,-9,4,2,6,1,11,3
30,2,1,1,1,0,7,17,16,4
27,2,3,1,2,0,13,10,15,4
1,2,4,-9,1,0,-9,1,-9,-9
18,2,3,2,1,0,2,4,16,4
19,2,6,-9,1,0,11,1,12,3
52,1,6,-9,2,1,2,14,11,3
20,2,3,1,1,0,13,4,15,1
28,1,3,-9,1,0,2,11,15,2
3,2,5,-9,1,1,-9,14,-9,-9
27,1,2,-9,1,1,2,1,15,1
25,2,3,3,1,2,13,12,16,1
28,1,3,1,1,1,2,4,16,4
51,2,4,4,5,0,2,4,15,4
38,1,4,-9,2,0,2,10,15,1
39,1,5,1,1,0,2,13,15,1
32,1,5,-9,2,0,6,9,14,2
59,2,4,-9,2,1,2,1,15,1
19,2,2,-9,1,0,11,1,12,2
24,1,2,-9,1,1,2,2,15,1
35,1,3,1,1,1,2,4,11,4
13,1,5,-9,1,0,-9,16,-9,-9
28,1,3,-9,1,1,2,15,11,4
45,1,2,-9,1,2,2,15,11,4
46,1,6,-9,2,0,2,9,15,4
40,2,1,1,1,2,2,9,15,1
24,2,8,3,1,0,1,18,10,3
43,1,1,-9,1,1,2,1,11,2
25,2,2,-9,2,1,7,10,15,4
28,2,4,2,1,2,4,4,16,4
19,1,6,2,1,0,13,14,16,4
37,2,4,2,2,0,5,4,15,3
50,1,1,-9,1,1,6,1,15,1
20,1,7,-9,1,2,11,14,15,1
33,2,2,-9,2,0,2,4,15,2
25,2,2,-9,1,0,6,8,14,1
31,1,1,1,2,0,2,14,15,1
19,1,3,-9,1,2,-9,-9,-9,-9
44,2,3,3,6,1,7,16,10,4
31,2,2,-9,1,0,2,1,15,2
31,1,2,-9,2,1,2,10,15,1
37,1,3,-9,2,0,1,13,16,2
28,1,3,1,2,1,2,18,15,1
56,2,2,-9,2,1,15,14,10,4
26,2,3,-9,1,1,2,4,16,4
26,1,3,-9,1,2,6,16,15,1
22,2,3,-9,1,1,7,10,12,4
11,2,5,2,1,1,-9,4,-9,-9
47,1,4,-9,2,1,2,14,10,3
30,1,6,-9,1,1,6,1,11,2
27,2,4,-9,1,1,7,14,15,4
11,2,6,-9,1,1,-9,4,-9,-9
38,1,4,-9,2,0,2,9,15,1
29,2,1,-9,1,1,2,9,15,1
36,1,2,1,1,0,2,4,15,1
25,1,5,-9,1,2,2,13,11,1
7,2,5,-9,1,2,-9,13,-9,-9
24,1,3,2,1,0,13,10,15,2
48,1,1,-9,1,0,7,1,10,4
26,1,6,2,1,1,6,4,10,4
17,2,6,-9,1,0,13,11,12,4
26,1,3,-9,1,2,2,13,11,4
2,1,9,-9,1,1,-9,11,-9,-9
46,1,2,-9,1,0,7,1,12,3
6,2,5,-9,1,1,-9,5,-9,-9
16,2,4,-9,1,1,13,9,12,3
13,2,5,-9,1,1,-9,14,-9,-9
0,2,3,1,1,1,-9,11,-9,-9
26,2,8,-9,2,0,14,9,15,3
10,1,5,-9,1,2,-9,8,-9,-9
26,1,6,2,1,0,8,9,15,2
3,2,4,2,1,1,-9,4,-9,-9
47,2,2,-9,5,0,15,14,11,4
42,1,4,-9,1,1,15,1,10,2
29,2,8,-9,2,2,1,11,15,4
34,1,2,-9,2,0,2,9,15,1
52,2,2,-9,4,2,2,12,15,2
19,1,4,-9,1,0,11,1,14,2
35,1,4,1,2,1,2,18,16,3
22,1,3,-9,1,1,13,17,14,3
24,1,9,-9,1,2,1,10,10,4
25,1,2,-9,1,2,2,1,15,1
27,1,4,1,2,0,1,14,11,2
39,2,5,2,2,1,14,13,12,4
36,1,1,-9,2,0,1,14,15,1
52,1,6,1,2,0,1,14,12,4
17,2,6,-9,1,1,2,10,12,4
48,1,2,-9,2,0,13,12,15,2
58,2,2,-9,2,1,2,4,16,2
4,1,3,-9,1,1,-9,17,-9,-9
29,2,2,1,1,0,14,12,15,4
20,2,4,-9,1,1,2,4,16,3
34,1,1,-9,1,0,2,14,15,1
24,1,9,-9,1,0,13,9,15,4
0,1,6,-9,1,1,-9,1,-9,-9
12,1,3,1,1,0,-9,10,-9,-9
16,1,4,-9,1,0,-9,-9,-9,-9
14,2,3,-9,1,1,-9,7,-9,-9
31,2,4,-9,4,0,2,14,12,4
11,1,3,-9,1,0,-9,14,-9,-9
1,2,7,4,1,1,-9,8,-9,-9
45,1,6,-9,2,1,2,14,16,4
42,1,3,1,1,0,6,4,15,2
27,1,5,1,1,0,8,13,14,4
42,2,2,-9,1,0,2,2,15,3
28,1,1,-9,1,0,2,1,15,1
0,2,4,-9,1,0,-9,1,-9,-9
54,1,1,-9,4,0,4,14,16,3
2,2,3,-9,1,0,-9,16,-9,-9
69,2,1,2,6,0,12,14,16,-9
39,1,4,-9,2,2,2,1,15,1
41,1,1,-9,1,0,1,4,11,1
48,2,3,-9,5,1,6,1,15,2
41,1,2,-9,1,1,2,1,11,2
25,1,3,-9,1,1,1,16,15,4
27,2,1,-9,1,0,2,15,11,3
17,2,4,-9,1,0,13,2,12,3
38,2,4,-9,5,2,2,1,14,2
75,1,2,-9,2,0,12,1,10,-9
12,1,6,-9,1,1,-9,14,-9,-9
4,2,4,-9,1,1,-9,15,-9,-9
46,1,2,-9,1,0,2,1,12,3
9,2,4,2,1,0,-9,14,-9,-9
24,2,3,-9,1,0,16,4,12,4
47,2,8,2,2,1,1,4,15,4
75,2,1,4,6,0,16,14,10,-9
49,2,2,-9,1,0,15,15,15,4
42,1,3,-9,2,1,2,14,15,3
28,1,2,-9,2,0,1,10,16,2
24,2,3,2,2,1,1,4,16,2
10,2,5,-9,1,0,-9,15,-9,-9
25,1,4,-9,1,0,7,14,15,1
68,2,4,-9,1,0,16,14,15,-9
58,1,1,-9,5,0,7,1,11,4
59,1,5,2,2,1,15,4,16,2
16,2,6,-9,1,1,13,6,10,1
43,1,2,-9,5,0,2,16,15,1
44,2,5,-9,1,0,7,15,15,4
28,1,3,2,2,0,6,18,14,3
11,1,6,-9,1,1,-9,1,-9,-9
26,2,5,-9,1,0,1,14,15,4
39,2,4,3,1,0,2,12,10,3
19,1,3,-9,1,0,13,1,11,3
26,1,1,-9,1,1,7,16,15,2
17,2,3,-9,1,0,11,14,12,3
46,1,4,-9,2,0,2,15,14,3
51,2,5,-9,4,1,2,14,15,2
4,2,6,-9,1,0,-9,14,-9,-9
41,1,3,1,6,1,2,14,16,1
43,2,3,-9,2,2,2,16,14,2
12,1,4,3,1,0,-9,14,-9,-9
0,2,3,-9,1,0,-9,1,-9,-9
34,1,3,-9,1,0,2,13,16,4
28,2,2,-9,1,0,2,4,16,1
75,1,2,-9,2,1,3,1,15,-9
41,1,1,1,4,0,2,14,10,4
26,2,2,1,1,0,1,14,15,3
80,2,2,3,6,1,12,14,10,-9
5,2,3,-9,1,0,-9,1,-9,-9
52,1,5,-9,5,0,7,14,14,2
44,2,2,1,5,0,7,14,15,2
35,2,3,-9,1,0,1,17,11,4
22,2,5,-9,1,2,8,1,14,2
27,1,3,-9,1,1,2,9,15,1
29,2,3,-9,4,1,1,9,11,4
48,1,5,-9,4,0,2,14,15,4
29,1,3,1,2,1,2,14,12,4
59,1,1,-9,5,0,2,1,12,2
23,2,3,-9,1,0,13,2,15,2
7,1,3,2,1,0,-9,18,-9,-9
0,2,4,-9,1,1,-9,15,-9,-9
58,2,2,-9,2,1,2,15,10,3
57,2,1,-9,5,0,15,2,15,4
29,2,2,1,1,0,2,4,15,2
59,1,2,-9,2,4,2,1,15,1
17,1,4,-9,1,0,13,1,12,2
17,1,6,-9,1,0,13,14,12,3
20,2,9,-9,1,1,13,16,15,4
49,2,1,-9,1,0,16,1,10,4
75,2,1,-9,1,0,12,1,10,-9
19,2,5,-9,1,0,13,11,11,4
25,1,4,-9,1,0,13,1,14,2
29,2,3,-9,1,1,2,1,15,1
90,2,1,-9,6,0,12,1,15,-9
31,1,1,-9,1,1,2,1,15,1
43,1,1,-9,5,1,2,1,15,1
64,2,1,-9,5,0,4,1,12,2
66,2,4,-9,1,0,12,1,15,-9
25,1,5,1,1,0,2,4,15,1
22,2,4,1,1,0,10,4,16,1
21,2,1,-9,1,0,13,7,14,2
4,2,3,-9,1,1,-9,14,-9,-9
32,1,1,3,1,0,1,4,15,2
70,2,2,-9,2,0,12,1,10,-9
28,2,4,1,2,0,13,4,16,2
3,1,4,-9,1,0,-9,1,-9,-9
33,1,3,1,1,1,6,17,16,4
26,1,3,-9,1,1,2,1,15,1
5,1,5,-9,1,1,-9,1,-9,-9
44,1,1,-9,1,1,6,1,15,2
63,2,1,-9,5,1,5,1,15,2
22,2,3,1,1,1,13,4,14,2
15,2,5,-9,1,2,-9,4,-9,-9
40,1,8,-9,2,1,2,11,15,3
31,2,3,-9,1,0,2,1,15,1
80,2,1,-9,1,0,12,1,15,-9
44,1,2,-9,1,0,2,1,14,2
32,1,4,-9,2,1,2,14,15,4
21,2,3,-9,1,2,13,1,14,1
34,1,2,-9,1,0,2,4,15,2
25,2,3,-9,1,0,5,15,15,4
28,1,3,-9,1,0,2,1,15,1
19,1,6,-9,1,0,13,14,14,4
41,1,2,1,1,0,7,18,10,4
27,1,2,-9,1,2,2,1,15,1
30,2,2,1,1,0,2,4,15,1
50,2,4,2,2,0,14,17,11,3
44,1,3,-9,5,1,2,12,11,3
70,2,2,2,2,0,16,4,10,-9
27,1,3,-9,1,0,2,2,16,1
48,2,4,-9,2,0,15,14,10,4
29,2,2,-9,1,0,2,14,15,1
8,2,4,-9,1,0,-9,1,-9,-9
34,2,3,-9,1,0,2,1,12,2
40,2,4,-9,5,0,2,14,11,2
34,1,2,1,1,0,2,4,14,4
50,2,3,-9,1,0,15,15,11,2
70,2,3,2,2,0,15,13,16,-9
29,2,6,-9,2,1,2,1,15,1
22,2,5,2,2,1,2,4,16,3
23,1,4,-9,1,0,13,1,15,2
35,1,4,4,2,0,1,12,16,4
38,2,1,-9,1,0,2,12,15,2
51,1,1,-9,1,0,2,15,15,1
39,1,1,-9,1,0,2,1,12,2
31,1,4,2,1,1,6,4,10,2
9,2,6,-9,1,1,-9,1,-9,-9
19,1,2,-9,1,0,7,5,10,4
3,1,9,-9,1,1,-9,14,-9,-9
20,2,3,-9,1,0,8,13,15,2
30,1,3,-9,1,0,2,1,15,2
64,2,3,-9,2,1,1,1,15,1
53,1,4,-9,2,2,14,9,11,1
80,1,2,-9,2,2,12,1,15,-9
64,2,2,-9,2,1,2,1,14,1
80,1,2,-9,2,1,12,1,15,-9
17,1,3,-9,1,1,13,15,11,4
44,1,2,-9,2,0,2,18,15,2
0,2,3,-9,1,0,-9,1,-9,-9
47,2,2,-9,2,2,2,4,15,1
63,1,1,-9,6,0,16,2,16,3
85,1,3,-9,2,1,12,1,12,-9
31,1,2,1,1,1,2,4,14,2
12,2,4,-9,1,1,-9,1,-9,-9
33,1,2,-9,2,1,2,1,15,1
75,1,1,-9,6,1,12,1,15,-9
43,1,3,-9,5,0,16,14,16,4
37,1,2,-9,1,0,2,13,15,1
58,2,1,-9,5,1,2,1,15,1
0,1,4,-9,1,1,-9,1,-9,-9
75,1,3,-9,2,1,12,9,15,-9
51,1,3,2,2,1,2,13,15,1
70,1,2,-9,2,3,12,4,15,-9
19,2,3,-9,1,2,-9,-9,-9,-9
48,2,3,-9,2,2,5,1,15,1
23,2,6,-9,2,1,1,1,12,4
38,1,3,-9,2,1,6,1,14,2
31,2,3,-9,1,1,13,16,15,2
57,2,2,-9,5,2,2,1,10,2
20,2,2,-9,1,0,1,1,12,2
21,1,5,-9,1,1,13,14,12,2
0,1,3,-9,1,0,-9,1,-9,-9
8,1,5,-9,1,1,-9,11,-9,-9
2,2,7,-9,1,0,-9,16,-9,-9
40,1,5,-9,1,1,2,16,16,2
35,1,4,-9,2,1,2,1,15,1
29,1,2,-9,1,0,2,1,15,1
38,2,4,-9,1,0,1,1,11,4
37,1,2,1,1,1,7,4,10,2
19,2,5,1,1,1,11,14,14,1
3,2,4,-9,1,1,-9,1,-9,-9
29,2,3,-9,1,1,2,1,15,2
31,1,2,2,5,1,2,12,14,4
33,2,2,-9,2,1,6,1,15,1
26,2,2,-9,1,0,2,1,15,2
30,2,5,1,1,0,5,4,15,2
64,2,2,-9,1,1,2,15,10,3
70,1,2,-9,6,1,12,1,13,-9
64,2,1,-9,4,0,16,1,15,2
6,1,4,-9,1,1,-9,9,-9,-9
80,2,3,-9,6,1,12,2,10,-9
20,2,4,-9,1,1,13,1,14,2
80,1,2,-9,2,1,12,1,10,-9
21,2,3,-9,1,1,2,1,14,2
30,1,2,-9,1,1,2,1,15,2
75,2,2,-9,2,1,12,1,14,-9
23,2,2,-9,1,1,2,1,15,2
41,2,4,-9,2,1,2,1,15,1
29,2,1,1,1,1,7,4,10,4
53,1,1,-9,1,0,2,1,14,2
56,2,5,-9,5,0,15,1,10,4
55,2,3,-9,2,0,1,9,10,3
23,2,2,-9,1,0,1,15,14,3
27,2,3,2,1,0,7,4,16,-9
41,1,5,-9,1,1,1,15,14,2
42,1,2,-9,1,1,2,4,15,1
29,2,2,-9,1,1,2,5,15,1
50,2,3,2,5,0,16,13,10,4
46,1,4,-9,2,0,2,14,15,3
26,2,4,-9,2,0,15,1,10,4
64,1,1,-9,1,1,16,1,10,3
4,1,3,-9,1,0,-9,1,-9,-9
34,2,2,-9,4,0,2,16,11,2
8,2,3,-9,1,0,-9,16,-9,-9
6,2,5,-9,1,2,-9,5,-9,-9
18,1,6,-9,1,0,13,14,12,2
40,2,5,-9,1,1,16,1,16,4
47,1,1,-9,1,1,4,1,15,2
69,2,4,-9,1,0,7,5,10,-9
23,2,2,-9,1,0,2,4,16,-9
21,1,5,-9,1,0,9,1,14,2
21,2,4,-9,1,1,13,1,14,2
23,2,4,-9,1,2,6,1,15,2
48,2,3,3,2,0,15,15,10,4
0,2,4,4,1,1,-9,16,-9,-9
25,2,3,2,1,0,13,4,16,2
43,2,2,-9,1,0,7,1,10,2
69,2,1,-9,5,0,12,1,10,-9
25,1,1,2,4,0,2,4,16,3
64,1,1,-9,6,1,15,1,11,4
45,1,1,-9,5,0,7,16,11,3
35,1,5,-9,1,0,2,16,16,4
29,1,9,-9,1,2,2,11,15,3
29,2,1,-9,1,1,2,1,11,2
17,1,4,-9,1,1,13,15,12,4
21,2,3,-9,1,0,2,12,15,1
70,2,1,-9,1,0,12,15,15,-9
32,1,2,-9,1,1,2,1,12,1
3,1,3,-9,1,0,-9,16,-9,-9
80,1,2,-9,2,0,12,1,16,-9
2,1,3,-9,1,0,-9,14,-9,-9
30,2,1,3,1,0,1,13,16,3
7,1,6,-9,1,0,-9,8,-9,-9
15,1,3,-9,1,1,-9,14,-9,-9
16,1,4,1,1,1,13,13,12,4
11,2,4,-9,1,1,-9,14,-9,-9
52,1,1,1,6,1,2,4,15,2
67,2,3,-9,2,1,12,1,10,-9
28,1,0,1,1,0,13,4,15,-9
30,1,2,-9,2,1,7,14,15,4
59,1,3,-9,1,0,2,16,12,4
24,1,4,-9,1,0,13,1,15,2
46,2,2,-9,2,1,1,1,14,4
15,1,5,-9,1,1,-9,14,-9,-9
7,2,5,-9,1,1,-9,14,-9,-9
18,2,6,-9,1,1,13,11,14,3
14,1,0,2,1,0,-9,18,-9,-9
41,2,2,-9,4,1,1,14,15,2
9,2,3,-9,1,0,-9,14,-9,-9
85,2,1,-9,6,0,12,1,10,-9
19,1,3,-9,1,0,13,14,14,4
32,2,4,-9,2,1,2,1,14,3
85,1,2,-9,2,0,12,2,10,-9
45,1,1,-9,1,1,2,15,14,2
22,2,3,-9,6,0,13,14,11,2
0,2,3,-9,1,1,-9,14,-9,-9
37,2,1,-9,4,0,7,1,10,2
25,1,5,-9,1,2,2,1,14,2
7,2,3,-9,1,0,-9,7,-9,-9
40,1,3,-9,1,0,6,1,15,1
10,2,9,-9,1,2,-9,14,-9,-9
25,2,3,2,4,0,1,14,10,4
24,2,2,2,1,0,2,14,11,4
31,1,1,-9,1,0,13,8,15,2
85,2,1,-9,6,0,12,2,10,-9
41,1,3,2,5,0,2,14,15,1
30,1,3,-9,2,0,1,4,15,1
22,2,3,-9,2,0,2,12,15,1
45,2,3,-9,5,0,15,1,11,2
9,2,3,1,1,1,-9,14,-9,-9
42,1,2,-9,3,1,16,15,10,1
38,2,3,-9,1,1,1,1,15,2
38,2,1,-9,1,2,2,1,14,3
40,2,3,-9,5,1,2,14,15,2
26,2,2,-9,1,1,6,1,14,2
36,1,1,-9,1,0,2,1,15,1
12,1,4,-9,1,1,-9,1,-9,-9
22,1,3,-9,1,0,13,9,14,2
21,2,7,-9,1,1,2,1,11,2
75,2,1,-9,1,0,12,1,10,-9
29,1,4,2,1,1,2,6,15,3
39,1,1,1,1,0,2,4,15,1
15,2,3,-9,1,1,-9,16,-9,-9
41,1,3,1,2,1,2,14,16,3
16,2,3,-9,1,1,13,7,11,2
2,2,4,-9,1,0,-9,16,-9,-9
27,2,2,-9,1,1,2,1,15,1
16,2,3,3,1,0,13,13,10,4
27,1,2,-9,1,1,6,1,15,2
49,1,2,-9,3,0,2,1,14,2
17,1,5,-9,1,0,13,1,10,4
22,1,3,-9,1,0,13,17,16,4
54,2,2,-9,5,0,5,1,15,2
80,2,1,-9,6,0,12,1,10,-9
41,2,1,1,1,0,1,1,15,2
25,2,3,1,1,0,2,4,15,1
17,2,2,-9,1,0,8,14,14,4
70,2,1,-9,1,0,12,1,10,-9
33,2,4,-9,1,0,6,1,12,2
47,1,3,-9,2,1,2,4,15,1
37,1,1,-9,1,0,2,1,15,1
16,1,4,-9,1,1,13,1,10,3
75,2,1,-9,5,0,12,1,10,-9
33,2,1,-9,1,1,2,1,15,1
57,2,2,-9,2,1,2,1,10,2
20,2,5,-9,1,1,8,5,14,2
7,2,4,-9,1,0,-9,16,-9,-9
34,1,6,1,5,2,2,14,16,3
2,1,4,-9,1,0,-9,5,-9,-9
7,2,5,-9,1,0,-9,14,-9,-9
22,1,5,-9,2,2,2,1,14,3
44,1,3,-9,1,1,2,1,12,2
22,2,6,-9,1,0,13,14,12,4
6,2,4,-9,1,1,-9,1,-9,-9
60,1,2,-9,2,1,6,1,16,2
26,2,5,-9,1,3,2,9,15,2
10,2,5,-9,1,0,-9,11,-9,-9
35,2,4,-9,2,1,2,8,15,2
27,1,4,1,2,1,11,14,15,4
32,2,3,-9,2,0,5,14,15,3
34,1,2,-9,2,1,2,14,12,3
33,1,1,2,4,1,2,17,15,2
34,1,1,-9,1,0,7,14,12,2
45,2,8,2,2,0,1,14,11,4
2,1,8,-9,1,0,-9,14,-9,-9
0,2,3,-9,1,0,-9,6,-9,-9
7,2,5,-9,1,1,-9,8,-9,-9
18,1,3,-9,1,1,13,13,14,2
19,2,2,-9,1,0,7,15,12,4
38,1,4,2,2,2,2,4,11,2
32,1,3,3,2,1,2,14,15,1
15,1,4,-9,1,1,-9,14,-9,-9
8,2,5,-9,1,1,-9,14,-9,-9
5,1,4,-9,1,0,-9,14,-9,-9
40,1,4,-9,2,1,1,4,11,3
10,1,4,-9,1,0,-9,15,-9,-9
23,1,3,-9,1,0,2,1,15,4
52,2,1,-9,6,0,1,5,11,4
4,1,4,1,1,0,-9,14,-9,-9
8,2,7,-9,1,2,-9,14,-9,-9
49,1,5,-9,6,0,3,14,16,4
34,2,3,-9,2,1,2,1,15,1
61,2,3,-9,2,1,12,15,12,3
19,2,6,-9,1,2,2,6,14,1
39,2,3,1,2,1,7,14,10,4
44,2,9,3,2,0,1,4,16,4
41,2,4,2,2,0,14,13,10,1
70,2,2,3,6,1,14,13,10,-9
16,1,6,-9,1,0,13,3,12,4
32,2,4,-9,2,1,2,14,16,2
23,1,3,-9,1,0,13,16,14,4
70,2,2,-9,6,0,12,1,10,-9
20,2,2,-9,1,1,11,14,14,2
37,2,3,1,1,1,2,4,15,4
12,2,5,1,1,2,-9,14,-9,-9
11,2,3,-9,1,1,-9,1,-9,-9
11,2,2,-9,1,0,-9,16,-9,-9
29,2,3,-9,1,0,2,16,15,2
16,2,5,-9,1,0,13,1,10,4
43,1,1,-9,1,0,15,1,12,4
31,2,3,-9,1,0,2,1,15,1
36,2,3,2,5,0,14,13,16,4
27,1,2,-9,1,0,5,1,15,1
30,1,1,1,1,0,6,18,16,2
22,1,4,2,1,0,1,17,14,-9
18,1,3,-9,1,0,13,5,10,4
34,2,3,2,1,0,16,14,10,4
48,1,1,-9,1,0,5,4,14,-9
69,1,6,2,2,1,12,12,10,-9
25,1,2,-9,1,1,2,1,12,2
2,1,4,-9,1,1,-9,1,-9,-9
35,2,4,-9,1,0,15,1,10,4
11,1,4,-9,1,0,-9,1,-9,-9
56,1,2,-9,5,0,9,1,14,2
52,1,1,-9,1,1,2,1,11,2
40,2,1,-9,5,1,8,4,16,2
70,2,7,4,2,2,12,11,10,-9
70,1,1,-9,2,1,12,14,12,-9
26,2,4,2,1,0,16,12,15,2
10,2,2,-9,1,0,-9,15,-9,-9
39,2,4,-9,2,2,2,14,14,2
53,1,4,1,2,3,1,14,15,2
85,2,1,-9,6,0,12,1,10,-9
25,1,3,-9,1,0,1,14,15,2
54,2,2,-9,1,0,2,16,14,2
12,1,5,-9,1,1,-9,4,-9,-9
32,2,3,1,2,0,2,4,15,2
25,1,5,-9,1,2,16,14,11,2
62,1,3,-9,5,2,2,1,16,3
