age,sex,household_size,english_proficiency,marital_status,number_of_cars_and_vans,economic_activity,ethnic_group,highest_qualification,approximated_social_grade
33,1,1,-9,1,0,2,4,11,1
26,2,4,-9,1,0,2,1,15,1
70,1,2,2,2,0,12,4,10,-9
18,1,5,-9,1,0,8,1,14,2
51,2,3,-9,1,1,6,1,15,2
27,1,2,2,2,0,9,13,15,2
36,2,6,-9,2,3,1,1,15,2
26,2,3,-9,1,0,2,1,14,2
0,1,2,-9,1,0,-9,1,-9,-9
30,1,2,2,1,1,6,4,10,2
24,2,5,-9,1,0,1,1,16,4
23,2,4,-9,1,1,2,1,11,1
29,1,3,2,2,0,2,18,10,4
29,2,3,-9,2,1,2,1,15,1
44,2,1,2,1,0,7,4,15,4
22,2,1,1,1,0,13,4,15,-9
13,2,5,-9,1,3,-9,7,-9,-9
57,2,3,-9,2,2,1,10,16,4
6,1,2,-9,1,2,-9,5,-9,-9
30,2,2,-9,1,0,2,4,15,1
34,2,4,2,1,0,2,17,15,1
40,1,2,-9,1,0,14,1,10,2
46,2,5,-9,2,1,2,1,15,1
37,2,5,-9,2,0,14,4,16,1
26,2,2,-9,1,0,2,4,15,1
33,1,1,-9,1,0,16,4,10,2
37,1,1,-9,1,1,2,1,14,2
47,2,3,-9,4,0,2,1,15,1
41,2,4,1,2,1,14,4,15,1
44,1,5,-9,2,2,2,1,15,2
33,2,2,-9,2,1,2,1,15,1
36,1,1,-9,1,1,4,2,15,1
28,2,2,-9,1,2,2,1,15,1
30,2,4,-9,1,1,2,13,15,1
15,1,3,-9,1,2,-9,5,-9,-9
0,2,3,4,1,0,-9,4,-9,-9
54,2,2,-9,2,0,6,4,15,1
64,2,1,-9,5,1,6,1,15,1
40,2,4,1,2,2,2,4,15,1
52,2,1,-9,2,1,2,1,15,1
33,2,4,1,2,2,2,13,15,1
7,2,5,-9,1,1,-9,7,-9,-9
0,2,5,-9,1,2,-9,1,-9,-9
26,1,5,-9,1,1,2,4,15,1
40,2,2,-9,1,0,14,1,10,4
